🐯暮雨｜直播,#genre#
暮雨直播,https://pan.7so.top/f/vgq3HA/%E5%BA%B7%E5%BC%9F%E5%84%BF-%E3%80%8A%E4%B8%8B%E8%BE%88%E5%AD%90%E4%B8%8D%E4%B8%80%E5%AE%9A%E9%81%87%E8%A7%81%E4%BD%A0%E3%80%8B%E8%BF%99%E8%BE%88%E5%AD%90%E5%8F%AA%E6%83%B3%E5%92%8C%E4%BD%A0%E5%9C%A8%E4%B8%80%E8%B5%B7-art--%E5%BA%B7%E5%BC%9F%E5%84%BF--art-61094392ef7a1dbbb3027921888ad30e.mp4
群号991710707,https://v.cdnlz12.com/20240922/17071_747f9688/index.m3u8
自娱自乐,https://v.cdnlz12.com/20240922/17070_8fb0d7f0/index.m3u8
自主研发,https://v.cdnlz12.com/20240909/16843_19cdc460/index.m3u8
永久免费,https://v.cdnlz12.com/20240823/16576_3a36184a/index.m3u8
仅供学习,https://pay.haiqu.vip:2266/hls/spsj/2019/12/05/10849/playlist.m3u8
免费观看,https://pay.haiqu.vip:2266/hls/spsj/2022/11/28/13071/playlist.m3u8
河南酒店,https://taoiptv.com/subs/41024.txt?token=f85052b76635841c
吉林订阅,https://taoiptv.com/subs/22023.txt?token=f85052b76635841c
辽宁订阅,https://taoiptv.com/subs/21023.txt?token=f85052b76635841c
4GTV订阅,http://pixman.digimon.us.kg/4gtv.m3u


内蒙古订阅,https://taoiptv.com/subs/15023.txt?token=f85052b76635841c
怎会有人知你的苦,https://pan.7so.top/f/66oWfy/%E5%B8%88%E5%B8%88-%E6%80%8E%E4%BC%9A%E6%9C%89%E4%BA%BA%E7%9F%A5%E4%BD%A0%E7%9A%84%E8%8B%A6%EF%BC%8F%E8%B0%88%E6%9F%92%E6%9F%92%EF%BC%88MV%EF%BC%89-art--%E5%B8%88%E5%B8%88--art-c94e8f2093688af16e61a358438088f1.mp4
🐯内置｜教学,#genre#
影视内置,https://pan.7so.top/f/8q8EHY/%E5%BD%B1%E8%A7%86%E5%86%85%E7%BD%AE%E5%A4%9A%E4%BB%93%E6%95%99%E7%A8%8B
内置单线,https://pan.7so.top/f/9862h2/%E5%BD%B1%E8%A7%86%E5%86%85%E7%BD%AE%E5%8D%95%E7%BA%BF%E6%95%99%E7%A8%8B
影视仓外置,https://pan.7so.top/f/0gq2cm/%E5%BD%B1%E8%A7%86%E4%BB%93%E5%86%85%E7%BD%AE%E5%A4%9A%E7%BA%BF
影视仓内置,https://pan.7so.top/f/j2QOtR/%E5%BD%B1%E8%A7%86%E4%BB%93%E5%86%85%E7%BD%AE
影视仓换背景,https://pan.7so.top/f/k5QDf5/%E5%BD%B1%E8%A7%86%E4%BB%93%E6%8D%A2%E8%83%8C%E6%99%AF%E6%95%99%E7%A8%8B
TVBox内置,https://pan.7so.top/f/lOQXcX/TVBox%E5%86%85%E7%BD%AE%E6%95%99%E5%AD%A6
catBOX内置,https://pan.7so.top/f/mwRNFW/catbox%E5%86%85%E7%BD%AE
我的电视内置,https://pan.7so.top/f/48xKSl/Video_1729355925523.mp4
我的电视去更新,https://pan.7so.top/f/2Rk2t8/%E6%88%91%E7%9A%84%E7%94%B5%E8%A7%86%E5%8E%BB%E6%9B%B4%E6%96%B0
虎牙轮播教学,https://pan.7so.top/f/3l1Vc2/%E8%99%8E%E7%89%99%E6%96%97%E9%B1%BC%E8%BD%AE%E6%92%AD%E6%95%99%E5%AD%A6
🐯暮雨｜上甘岭,#genre#
第一集,https://bfikuncdn.com/20241014/Mp2vYbhp/index.m3u8
第二集,https://bfikuncdn.com/20241015/7tOPyPur/index.m3u8
第三集,https://bfikuncdn.com/20241015/4a7AC6su/index.m3u8
第四集,https://bfikuncdn.com/20241016/MupfX0BX/index.m3u8
第五集,https://bfikuncdn.com/20241016/PrHwr9l7/index.m3u8
第六集,https://bfikuncdn.com/20241017/ZaM8kYuv/index.m3u8
第七集,https://bfikuncdn.com/20241017/heFkAlXU/index.m3u8
第八集,https://bfikuncdn.com/20241018/r1gxxG4r/index.m3u8
第九集,https://bfikuncdn.com/20241018/BDeq5S6S/index.m3u8
第十集,https://bfikuncdn.com/20241019/1DkdmuwQ/index.m3u8
第十一集,https://bfikuncdn.com/20241019/n8Bg5r5m/index.m3u8

🐯熊猫｜经典,#genre#
存亡之战,https://v11.qrssv.com/202410/07/keN6NnC96w8/video/2000k_1080/hls/index.m3u8
逆行人生,https://bfikuncdn.com/20241001/auPtrRTp/index.m3u8
捉刀人,https://bfikuncdn.com/20240929/XgU037Xy/index.m3u8
我不是继承人,https://bfikuncdn.com/20241017/ev09Wes0/index.m3u8

金庸剧场,http://cfss.cc/cdn/hy/11602082.flv
经典电影,http://ali.hlspull.yximgs.com/live/asdfg978707232.flv
经典乡村,http://ali.hlspull.yximgs.com/live/asdfg863678266.flv
经典综艺,http://ali.hlspull.yximgs.com/live/asdfg171759930.flv
经典少儿,http://ali.hlspull.yximgs.com/live/asdfg315962975.flv
未来频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
星光经典台,https://ali.hlspull.yximgs.com/live/1355046088.flv
龙腾功夫,https://ali.hlspull.yximgs.com/live/lgtv99838.flv
夜班功夫台,http://159.75.85.63:35455/yy/1507716299
怀旧经典,http://159.75.85.63:35455/huya/20588024
柠檬功夫台,http://159.75.85.63:35455/douyu/9838414
星光影迷台,https://ali.hlspull.yximgs.com/live/11077536.flv
无线Popc台,P2p://generationnexxxt.com:19806/3ae0f859370b4f17baec42495be6f043
香港功夫台,http://huanqiuzhibo.cn/manifest/douyu.php?id=9548850
龙腾经典台,https://ali.hlspull.yximgs.com/live/lgtv93858.flv
邵氏影院,http://maomao.kandiantv.cn/douyu1.php?id=4246519
1905电影(亚洲),http://xxw.me0.cn/1905dy.php?id=1905a#http://xxw.me0.cn/1905dy.php?id=1905a
邵氏影院,http://maomao.kandiantv.cn/douyu1.php?id=4246519
邵氏影院,http://maomao.kandiantv.cn/douyu1.php?id=4246519
🐯北京｜组播,#genre#
CCTV1,http://unraid.jimin.codetech.top:8888/udp/239.3.1.129:8008
CCTV1,http://unraid.jimin.codetech.top:8888/udp/239.3.1.1:8000
CCTV2,http://unraid.jimin.codetech.top:8888/udp/239.3.1.60:8084
CCTV2,http://unraid.jimin.codetech.top:8888/udp/239.3.1.2:8004
CCTV3,http://unraid.jimin.codetech.top:8888/udp/239.3.1.172:8001
CCTV3,http://unraid.jimin.codetech.top:8888/udp/239.3.1.107:8001
CCTV4,http://unraid.jimin.codetech.top:8888/udp/239.3.1.105:8092
CCTV4,http://unraid.jimin.codetech.top:8888/udp/239.3.1.213:4220
CCTV4,http://unraid.jimin.codetech.top:8888/udp/239.3.1.214:4220
CCTV4,http://unraid.jimin.codetech.top:8888/udp/239.3.1.245:2000
CCTV4,http://unraid.jimin.codetech.top:8888/udp/239.3.1.4:8216
CCTV5,http://unraid.jimin.codetech.top:8888/udp/239.3.1.173:8001
CCTV5+,http://unraid.jimin.codetech.top:8888/udp/239.3.1.130:8004
CCTV5,http://unraid.jimin.codetech.top:8888/udp/239.3.1.108:8001
CCTV6,http://unraid.jimin.codetech.top:8888/udp/239.3.1.174:8001
CCTV6,http://unraid.jimin.codetech.top:8888/udp/239.3.1.109:8001
CCTV7,http://unraid.jimin.codetech.top:8888/udp/239.3.1.61:8104
CCTV7,http://unraid.jimin.codetech.top:8888/udp/239.3.1.7:8024
CCTV8,http://unraid.jimin.codetech.top:8888/udp/239.3.1.175:8001
CCTV8,http://unraid.jimin.codetech.top:8888/udp/239.3.1.110:8001
CCTV9,http://unraid.jimin.codetech.top:8888/udp/239.3.1.62:8112
CCTV9,http://unraid.jimin.codetech.top:8888/udp/239.3.1.9:8032
CCTV10,http://unraid.jimin.codetech.top:8888/udp/239.3.1.63:8116
CCTV10,http://unraid.jimin.codetech.top:8888/udp/239.3.1.10:8228
CCTV11,http://unraid.jimin.codetech.top:8888/udp/239.3.1.152:8120
CCTV11,http://unraid.jimin.codetech.top:8888/udp/239.3.1.11:8040
CCTV12,http://unraid.jimin.codetech.top:8888/udp/239.3.1.64:8124
CCTV12,http://unraid.jimin.codetech.top:8888/udp/239.3.1.12:8232
CCTV13,http://unraid.jimin.codetech.top:8888/udp/239.3.1.124:8128
CCTV13,http://unraid.jimin.codetech.top:8888/udp/239.3.1.13:8048
CCTV14,http://unraid.jimin.codetech.top:8888/udp/239.3.1.65:8132
CCTV14,http://unraid.jimin.codetech.top:8888/udp/239.3.1.14:8236
CCTV15,http://unraid.jimin.codetech.top:8888/udp/239.3.1.153:8136
CCTV15,http://unraid.jimin.codetech.top:8888/udp/239.3.1.15:8052
CCTV16,http://unraid.jimin.codetech.top:8888/udp/239.3.1.184:8001
CCTV17,http://unraid.jimin.codetech.top:8888/udp/239.3.1.151:8144
CCTV17,http://unraid.jimin.codetech.top:8888/udp/239.3.1.150:8064
CGTN新闻,http://unraid.jimin.codetech.top:8888/udp/239.3.1.215:4220
CGTN记录,http://unraid.jimin.codetech.top:8888/udp/239.3.1.216:4220
CGTN西班牙语,http://unraid.jimin.codetech.top:8888/udp/239.3.1.217:4220
CGTN法语,http://unraid.jimin.codetech.top:8888/udp/239.3.1.218:4220
CGTN阿拉伯语,http://unraid.jimin.codetech.top:8888/udp/239.3.1.219:4220
CGTN俄语,http://unraid.jimin.codetech.top:8888/udp/239.3.1.220:4220
中国教育1台,http://unraid.jimin.codetech.top:8888/udp/239.3.1.146:4120
中国教育2台,http://unraid.jimin.codetech.top:8888/udp/239.3.1.54:4120
中国教育3台,http://unraid.jimin.codetech.top:8888/udp/239.3.1.55:4120
中国教育4台,http://unraid.jimin.codetech.top:8888/udp/239.3.1.56:4120
CGTN,http://unraid.jimin.codetech.top:8888/udp/239.3.1.16:8056
北京卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.241:8000
北京卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.225:8000
湖南卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.132:8012
浙江卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.137:8036
江苏卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.135:8028
东方卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.136:8032
山东卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.209:8052
安徽卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.211:8064
湖北卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.138:8044
东南卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.156:8148
广东卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.142:8048
辽宁卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.210:8056
黑龙江卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.133:8016
深圳卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.134:8020
贵州卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.149:8076
天津卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.141:1234
河北卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.148:8072
重庆卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.122:8160
江西卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.123:8164
吉林卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.240:8172
东方卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.34:8192
东南卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.36:8112
南方卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.161:8001
广西卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.39:8300
海南卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.45:8304
深圳卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.32:9244
厦门卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.143:4120
广东卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.38:8132
江西卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.30:8280
